Turbine_ID,Wind_Speed,RPM,Voltage,Maintenance_Date
1000,34,20,34,2023-08-25
1001,32,18,33,2023-10-12
1002,36,22,35,2023-07-05
1003,30,16,32,2023-11-30
1004,38,24,36,2022-06-15
1005,28,14,31,2023-12-20
1006,33,19,34,2023-09-10
1007,31,17,33,2023-10-30
1008,37,23,35,2023-07-25
1009,29,15,32,2023-12-05
1010,40,26,37,2023-05-30
1011,27,13,30,2024-01-10
1012,35,21,34,2023-08-10
1013,33,19,33,2023-09-30
1014,39,25,36,2023-06-05
1015,31,17,31,2023-11-15
1016,37,23,35,2023-07-10
1017,30,16,32,2022-12-30
1018,38,24,36,2023-05-15
1019,32,18,33,2023-10-05
1020,34,20,34,2023-08-05
